tot build ln
471944 2.8480 2.5850
448044 6.0630 2.5850
162762 5.2140 2.5850
119938 3.7830 2.5850
36906 5.7050 2.5850
2157890 96.5090 2.5850
41324 3.8370 2.5850
25968 4.3400 2.5850
34530 0.9710 2.5850
47144 5.8380 2.5850
31000 0.8910 2.5850
322838 2.0920 2.5850
1275812 6.9010 2.5850
2381246 14.1200 2.5850
419330 4.8790 2.5850
542484 18.8810 2.5850
87618 3.8900 2.5850
1163116 5.9820 2.5850
171768 1.6180 2.5850
2469254 34.7960 2.5850
385254 9.7370 2.5850
783870 14.3360 2.5850
139866 12.8280 2.5850
104060 7.0090 2.5850
401488 11.6380 2.5850
108954 4.1240 2.5850
300810 22.3010 2.5850
994666 18.9780 2.5850
586472 3.1430 2.5850
1912606 8.2480 2.5850
265762 2.1120 2.5850
52068 1.3240 2.5850
31700 5.0270 2.5850
711768 8.1970 2.5850
100076 1.3220 2.5850
435086 7.0800 2.5850
593214 3.4120 2.5850
11640 3.5110 2.5850
171280 3.3170 2.5850
40798 3.4550 2.5850
1065456 14.7780 2.5850
169052 3.5510 2.5850
42848 0.9780 2.5850
2837644 25.8840 2.5850
138112 18.3950 2.5850
2785894 18.2070 2.5850
15046 3.9130 2.5850
2830878 20.1450 2.5850
674672 6.2760 2.5850
55250 4.3140 2.5850
371972 2.3310 2.5850
811864 7.6230 2.5850
889854 10.6460 2.5850
36734 3.5200 2.5850
377996 2.4230 2.5850
1519922 5.9530 2.5850
2598810 23.9460 2.5850
1176550 11.1890 2.5850
2003336 11.8940 2.5850
201722 1.6910 2.5850
669256 3.5410 2.5850
312860 11.6030 2.5850
94574 4.5730 2.5850
843892 4.8770 2.5850
18756 3.4030 3.0000
461780 5.4010 3.0000
1165834 5.9190 3.0000
120870 7.9490 3.0000
42332 5.5020 3.0000
2994260 157.0240 3.0000
203302 4.8530 3.0000
63492 6.6020 3.0000
524894 20.8360 3.0000
38140 5.1330 3.0000
215920 7.0360 3.0000
162018 10.3120 3.0000
294652 6.8050 3.0000
149592 4.2980 3.0000
563024 5.1660 3.0000
200324 10.5730 3.0000
123554 6.6740 3.0000
657936 3.8900 3.0000
2373610 47.2790 3.0000
1541286 15.0400 3.0000
48282 5.2840 3.0000
794442 12.2360 3.0000
1018884 5.3390 3.0000
254098 8.4240 3.0000
147772 6.8100 3.0000
307938 11.0340 3.0000
2859646 38.7390 3.0000
629388 7.3590 3.0000
2982144 71.8750 3.0000
1246438 56.5180 3.0000
37614 1.4700 3.0000
1103164 15.3200 3.0000
192676 1.9090 3.0000
1200646 6.1460 3.0000
128048 13.3250 3.0000
166768 13.1860 3.0000
2331206 26.5380 3.0000
388704 7.0620 3.0000
29226 4.5100 3.0000
2783334 25.2590 3.0000
146578 13.1020 3.0000
82256 5.0640 3.0000
17532 4.9750 3.0000
1436996 7.3330 3.0000
506654 6.2990 3.0000
